Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
255.07	2600.0	65.437	0.015282	4.9097	5.6624	22.825	40.206	78.241	2693.9	-0.0013479	9.0970e-05	0.13791	liquid
255.13	2600.0	65.423	0.015285	4.9147	5.6676	22.845	40.205	78.251	2692.8	-0.0013439	9.0907e-05	0.13784	liquid
255.20	2600.0	65.410	0.015288	4.9198	5.6728	22.865	40.204	78.260	2691.6	-0.0013399	9.0844e-05	0.13778	liquid
255.27	2600.0	65.396	0.015291	4.9249	5.6780	22.886	40.203	78.269	2690.4	-0.0013359	9.0782e-05	0.13771	liquid
255.33	2600.0	65.382	0.015295	4.9299	5.6833	22.906	40.202	78.279	2689.3	-0.0013319	9.0719e-05	0.13765	liquid
255.40	2600.0	65.369	0.015298	4.9350	5.6885	22.927	40.201	78.288	2688.1	-0.0013279	9.0657e-05	0.13758	liquid
255.47	2600.0	65.355	0.015301	4.9400	5.6937	22.947	40.200	78.298	2686.9	-0.0013238	9.0594e-05	0.13752	liquid
255.53	2600.0	65.341	0.015304	4.9451	5.6989	22.968	40.199	78.307	2685.8	-0.0013198	9.0532e-05	0.13745	liquid
255.60	2600.0	65.328	0.015307	4.9502	5.7041	22.988	40.198	78.317	2684.6	-0.0013158	9.0469e-05	0.13738	liquid
255.67	2600.0	65.314	0.015311	4.9552	5.7094	23.009	40.197	78.326	2683.4	-0.0013117	9.0407e-05	0.13732	liquid
255.73	2600.0	65.300	0.015314	4.9603	5.7146	23.029	40.196	78.336	2682.2	-0.0013077	9.0345e-05	0.13725	liquid
255.80	2600.0	65.287	0.015317	4.9654	5.7198	23.049	40.195	78.345	2681.1	-0.0013036	9.0283e-05	0.13719	liquid
255.87	2600.0	65.273	0.015320	4.9704	5.7250	23.070	40.194	78.355	2679.9	-0.0012996	9.0221e-05	0.13712	liquid
255.93	2600.0	65.259	0.015324	4.9755	5.7303	23.090	40.193	78.364	2678.7	-0.0012955	9.0159e-05	0.13706	liquid
256.00	2600.0	65.246	0.015327	4.9806	5.7355	23.111	40.192	78.374	2677.6	-0.0012915	9.0097e-05	0.13699	liquid
256.07	2600.0	65.232	0.015330	4.9856	5.7407	23.131	40.191	78.384	2676.4	-0.0012874	9.0035e-05	0.13692	liquid
256.13	2600.0	65.218	0.015333	4.9907	5.7459	23.151	40.190	78.393	2675.2	-0.0012833	8.9973e-05	0.13686	liquid
256.20	2600.0	65.204	0.015336	4.9958	5.7512	23.172	40.189	78.403	2674.1	-0.0012792	8.9911e-05	0.13679	liquid
256.27	2600.0	65.191	0.015340	5.0008	5.7564	23.192	40.188	78.412	2672.9	-0.0012751	8.9849e-05	0.13673	liquid
256.33	2600.0	65.177	0.015343	5.0059	5.7616	23.213	40.188	78.422	2671.7	-0.0012710	8.9787e-05	0.13666	liquid
256.40	2600.0	65.163	0.015346	5.0110	5.7668	23.233	40.187	78.432	2670.6	-0.0012669	8.9726e-05	0.13660	liquid
256.47	2600.0	65.149	0.015349	5.0160	5.7721	23.253	40.186	78.441	2669.4	-0.0012628	8.9664e-05	0.13653	liquid
256.53	2600.0	65.136	0.015353	5.0211	5.7773	23.274	40.185	78.451	2668.2	-0.0012587	8.9602e-05	0.13646	liquid
256.60	2600.0	65.122	0.015356	5.0262	5.7825	23.294	40.184	78.461	2667.1	-0.0012546	8.9541e-05	0.13640	liquid
256.67	2600.0	65.108	0.015359	5.0312	5.7878	23.315	40.183	78.470	2665.9	-0.0012505	8.9480e-05	0.13633	liquid
256.73	2600.0	65.095	0.015362	5.0363	5.7930	23.335	40.182	78.480	2664.7	-0.0012464	8.9418e-05	0.13627	liquid
256.80	2600.0	65.081	0.015366	5.0414	5.7982	23.355	40.181	78.490	2663.6	-0.0012422	8.9357e-05	0.13620	liquid
256.87	2600.0	65.067	0.015369	5.0465	5.8035	23.376	40.180	78.500	2662.4	-0.0012381	8.9295e-05	0.13614	liquid
256.93	2600.0	65.053	0.015372	5.0515	5.8087	23.396	40.179	78.509	2661.2	-0.0012339	8.9234e-05	0.13607	liquid
257.00	2600.0	65.040	0.015375	5.0566	5.8139	23.416	40.178	78.519	2660.1	-0.0012298	8.9173e-05	0.13601	liquid
257.07	2600.0	65.026	0.015379	5.0617	5.8192	23.437	40.177	78.529	2658.9	-0.0012256	8.9112e-05	0.13594	liquid
257.13	2600.0	65.012	0.015382	5.0668	5.8244	23.457	40.176	78.539	2657.7	-0.0012215	8.9051e-05	0.13587	liquid
257.20	2600.0	64.998	0.015385	5.0718	5.8296	23.478	40.175	78.549	2656.6	-0.0012173	8.8990e-05	0.13581	liquid
257.27	2600.0	64.984	0.015388	5.0769	5.8349	23.498	40.174	78.558	2655.4	-0.0012131	8.8929e-05	0.13574	liquid
257.33	2600.0	64.971	0.015392	5.0820	5.8401	23.518	40.173	78.568	2654.2	-0.0012089	8.8868e-05	0.13568	liquid
257.40	2600.0	64.957	0.015395	5.0871	5.8453	23.539	40.172	78.578	2653.1	-0.0012047	8.8807e-05	0.13561	liquid
257.47	2600.0	64.943	0.015398	5.0921	5.8506	23.559	40.171	78.588	2651.9	-0.0012005	8.8746e-05	0.13555	liquid
257.53	2600.0	64.929	0.015401	5.0972	5.8558	23.579	40.170	78.598	2650.7	-0.0011963	8.8686e-05	0.13548	liquid
257.60	2600.0	64.915	0.015405	5.1023	5.8611	23.600	40.169	78.608	2649.6	-0.0011921	8.8625e-05	0.13542	liquid
257.67	2600.0	64.902	0.015408	5.1074	5.8663	23.620	40.168	78.618	2648.4	-0.0011879	8.8564e-05	0.13535	liquid
257.73	2600.0	64.888	0.015411	5.1125	5.8715	23.640	40.167	78.628	2647.2	-0.0011837	8.8504e-05	0.13528	liquid
257.80	2600.0	64.874	0.015414	5.1175	5.8768	23.661	40.167	78.637	2646.1	-0.0011795	8.8443e-05	0.13522	liquid
257.87	2600.0	64.860	0.015418	5.1226	5.8820	23.681	40.166	78.647	2644.9	-0.0011753	8.8383e-05	0.13515	liquid
257.93	2600.0	64.846	0.015421	5.1277	5.8873	23.701	40.165	78.657	2643.7	-0.0011710	8.8322e-05	0.13509	liquid
258.00	2600.0	64.833	0.015424	5.1328	5.8925	23.722	40.164	78.667	2642.6	-0.0011668	8.8262e-05	0.13502	liquid
258.07	2600.0	64.819	0.015428	5.1379	5.8978	23.742	40.163	78.677	2641.4	-0.0011625	8.8201e-05	0.13496	liquid
258.13	2600.0	64.805	0.015431	5.1430	5.9030	23.762	40.162	78.687	2640.2	-0.0011583	8.8141e-05	0.13489	liquid
258.20	2600.0	64.791	0.015434	5.1480	5.9083	23.783	40.161	78.697	2639.1	-0.0011540	8.8081e-05	0.13483	liquid
258.27	2600.0	64.777	0.015438	5.1531	5.9135	23.803	40.160	78.707	2637.9	-0.0011498	8.8021e-05	0.13476	liquid
258.33	2600.0	64.763	0.015441	5.1582	5.9187	23.823	40.159	78.717	2636.7	-0.0011455	8.7961e-05	0.13470	liquid
258.40	2600.0	64.750	0.015444	5.1633	5.9240	23.844	40.158	78.727	2635.6	-0.0011412	8.7901e-05	0.13463	liquid
258.47	2600.0	64.736	0.015447	5.1684	5.9292	23.864	40.157	78.738	2634.4	-0.0011369	8.7841e-05	0.13457	liquid
258.53	2600.0	64.722	0.015451	5.1735	5.9345	23.884	40.156	78.748	2633.2	-0.0011326	8.7781e-05	0.13450	liquid
258.60	2600.0	64.708	0.015454	5.1786	5.9397	23.904	40.155	78.758	2632.1	-0.0011283	8.7721e-05	0.13444	liquid
258.67	2600.0	64.694	0.015457	5.1836	5.9450	23.925	40.155	78.768	2630.9	-0.0011240	8.7661e-05	0.13437	liquid
258.73	2600.0	64.680	0.015461	5.1887	5.9502	23.945	40.154	78.778	2629.7	-0.0011197	8.7601e-05	0.13431	liquid
258.80	2600.0	64.666	0.015464	5.1938	5.9555	23.965	40.153	78.788	2628.6	-0.0011154	8.7541e-05	0.13424	liquid
