time,dm_ox_dt,dr_dt,thrust,n_lo,n_go,OF,r,V_chmb,p_chmb,p_tank
9.445,0.12866674700207212,0.0006118451227041502,9.569438710615609,0.02102805193986995,0.003576256359667213,14.611462752459852,0.2537142055365376,117.57340864498268,269.6689700247169,695.528767300596
9.450000000000001,0.1286611809812746,0.000612056290406295,9.568877868356012,0.021013435669565577,0.003577750272809784,14.612729000686565,0.25359372225577115,117.57571276720067,269.65580758668324,695.4853003246321
9.455,0.1286556141856128,0.0006122677177928147,9.568316954604901,0.020998820031664773,0.0035792438233700637,14.61399648282666,0.25347319735552365,117.57801659034577,269.6426424554145,695.4418283284957
9.46,0.12865004661465212,0.0006124794053985893,9.567755969274014,0.020984205026255615,0.0035807370113136215,14.615265201091978,0.25335263078457093,117.58032011426182,269.62947462826054,695.3983513076145
9.465,0.12864447826795783,0.0006126913537600489,9.567194912274923,0.02096959065342623,0.00358222983660601,14.616535157700156,0.2532320224915833,117.58262333879249,269.61630410256663,695.3548692574221
9.47,0.12863890914509774,0.0006129035634151879,9.566633783519254,0.02095497691326479,0.003583722299212766,14.617806354874741,0.253111372425125,117.58492626378117,269.6031308756792,695.3113821733582
9.475,0.12863333924563905,0.0006131160349035606,9.566072582918446,0.020940363805859518,0.003585214399099409,14.619078794845118,0.2529906805336542,117.58722888907101,269.58995494493894,695.2678900508674
9.48,0.12862776856915153,0.0006133287687662978,9.565511310383972,0.02092575133129869,0.0035867061362314435,14.62035247984661,0.25286994676552255,117.58953121450494,269.57677630768745,695.2243928853998
9.485,0.1286221971152048,0.0006135417655461026,9.564949965827164,0.020911139489670626,0.003588197510574357,14.621627412120432,0.25274917106897477,117.59183323992563,269.56359496126186,695.1808906724106
9.49,0.12861662488337028,0.0006137550257872644,9.564388549159341,0.020896528281063694,0.003589688522093621,14.622903593913769,0.25262835339214856,117.59413496517551,269.5504109029984,695.1373834073614
9.495000000000001,0.1286110518732198,0.0006139685500356587,9.5638270602917,0.020881917705566317,0.0035911791707546902,14.624181027479747,0.25250749368307407,117.59643639009678,269.53722413023024,695.0938710857182
9.5,0.1286054780843268,0.0006141823388387582,9.563265499135419,0.020867307763266958,0.0035926694565230036,14.625459715077488,0.25238659188967366,117.59873751453136,269.52403464028896,695.0503537029531
9.505,0.12859990351626518,0.0006143963927456342,9.562703865601561,0.020852698454254137,0.003594159379363984,14.626739658972111,0.25226564795976164,117.60103833832102,269.510842430503,695.0068312545432
9.51,0.1285943281686104,0.0006146107123069664,9.562142159601159,0.020838089778616415,0.003595648939243037,14.628020861434779,0.252144661841044,117.60333886130715,269.4976474981994,694.9633037359706
9.515,0.1285887520409383,0.0006148252980750453,9.561580381045125,0.020823481736442405,0.003597138136125553,14.629303324742661,0.25202363348111795,117.60563908333101,269.4844498407018,694.9197711427238
9.52,0.12858317513282663,0.0006150401506037831,9.56101852984437,0.02080887432782077,0.0035986269699769054,14.630587051179054,0.2519025628274716,117.60793900423356,269.4712494553331,694.8762334702956
9.525,0.12857759744385355,0.0006152552704487153,9.560456605909684,0.020794267552840213,0.003600115440762452,14.631872043033296,0.2517814498274838,117.61023862385554,269.45804633941276,694.8326907141848
9.53,0.1285720189735981,0.0006154706581670071,9.559894609151769,0.020779661411589493,0.0036016035484475336,14.633158302600844,0.2516602944284236,117.61253794203739,269.4448404902574,694.7891428698949
9.535,0.1285664397216408,0.0006156863143174634,9.5593325394813,0.020765055904157413,0.0036030912929974753,14.634445832183303,0.2515390965774502,117.61483695861939,269.4316319051824,694.745589932935
9.540000000000001,0.12856085968756276,0.0006159022394605301,9.558770396808836,0.020750451030632822,0.003604578674377586,14.635734634088404,0.2514178562216124,117.61713567344151,269.41842058149973,694.7020318988198
9.545,0.12855527887094667,0.0006161184341583053,9.558208181044908,0.02073584679110462,0.0036060656925531584,14.637024710630083,0.2512965733078483,117.61943408634347,269.40520651652025,694.658468763068
9.55,0.1285496972713755,0.0006163348989745395,9.557645892099911,0.020721243185661754,0.003607552347489468,14.638316064128453,0.2511752477829852,117.62173219716479,269.39198970755047,694.6149005212053
9.555,0.1285441148884341,0.0006165516344746497,9.557083529884242,0.020706640214393217,0.003609038639151776,14.639608696909848,0.25105387959373887,117.6240300057447,269.3787701518967,694.571327168761
9.56,0.12853853172170784,0.000616768641225718,9.556521094308167,0.020692037877388048,0.0036105245675053252,14.64090261130685,0.2509324686867136,117.62632751192217,269.3655478468615,694.5277487012702
9.565,0.128532947770783,0.0006169859197965013,9.555958585281882,0.020677436174735334,0.0036120101325153435,14.64219780965829,0.25081101500840164,117.62862471553598,269.35232278974485,694.4841651142737
9.57,0.12852736303524676,0.0006172034707574376,9.555396002715487,0.02066283510652421,0.003613495334147042,14.643494294309274,0.25068951850518306,117.6309216164246,269.33909497784373,694.4405764033168
9.575000000000001,0.12852177751468818,0.0006174212946806546,9.554833346519077,0.020648234672843855,0.0036149801723656164,14.644792067611247,0.2505679791233251,117.63321821442624,269.32586440845483,694.3969825639501
9.58,0.12851619120869673,0.0006176393921399722,9.554270616602615,0.0206336348737835,0.0036164646471362454,14.646091131921954,0.2504463968089824,117.63551450937892,269.31263107887054,694.3533835917291
9.585,0.12851060411686252,0.0006178577637109087,9.553707812875965,0.020619035709432413,0.0036179487584240915,14.647391489605498,0.25032477150819593,117.63781050112038,269.2993949863804,694.3097794822148
9.59,0.1285050162387778,0.0006180764099706937,9.553144935248989,0.02060443717987992,0.0036194325061943014,14.64869314303236,0.2502031031668932,117.64010618948808,269.2861561282734,694.2661702309738
9.595,0.128499427574034,0.0006182953314982627,9.552581983631338,0.020589839285215385,0.0036209158904120056,14.649996094579388,0.2500813917308877,117.64240157431924,269.27291450183213,694.2225558335758
9.6,0.12849383812222606,0.000618514528874281,9.552018957932765,0.020575242025528222,0.003622398911042318,14.651300346629894,0.24995963714587882,117.64469665545084,269.25967010434204,694.1789362855977
9.605,0.1284882478829477,0.0006187340026811306,9.55145585806277,0.02056064540090789,0.003623881568050337,14.652605901573596,0.24983783935745105,117.64699143271962,269.2464229330811,694.135311582621
9.61,0.12848265685579494,0.0006189537535029327,9.550892683930885,0.02054604941144389,0.0036253638614011444,14.65391276180668,0.249715998311074,117.64928590596199,269.2331729853274,694.0916817202309
9.615,0.12847706504036438,0.0006191737819255449,9.5503294354465,0.020531454057225777,0.0036268457910598054,14.655220929731835,0.24959411395210193,117.6515800750142,269.2199202583554,694.0480466940193
9.620000000000001,0.1284714724362539,0.0006193940885365733,9.549766112518968,0.020516859338343147,0.00362832735699137,14.656530407758233,0.24947218622577352,117.65387393971218,269.2066647494376,694.0044064995819
9.625,0.12846587904306178,0.0006196146739253734,9.549202715057497,0.02050226525488564,0.0036298085591608704,14.657841198301593,0.24935021507721128,117.65616749989161,269.1934064558424,693.9607611325202
9.63,0.128460284860388,0.0006198355386830637,9.548639242971271,0.020487671806942942,0.0036312893975333246,14.659153303784182,0.24922820045142155,117.65846075538794,269.18014537483697,693.9171105884396
9.635,0.12845468988783373,0.000620056683402529,9.548075696169398,0.02047307899460479,0.0036327698720737336,14.660466726634867,0.24910614229329375,117.66075370603633,269.1668815036861,693.8734548629517
9.64,0.12844909412500022,0.000620278108678424,9.547512074560828,0.020458486817960957,0.003634249982747082,14.661781469289089,0.2489840405476004,117.66304635167168,269.15361483965006,693.8297939516726
9.645,0.12844349757149023,0.0006204998151071852,9.546948378054475,0.02044389527710127,0.0036357297295183384,14.663097534188921,0.24886189515899657,117.66533869212867,269.1403453799872,693.7861278502231
9.65,0.12843790022690815,0.0006207218032870381,9.546384606559199,0.020429304372115594,0.0036372091123524557,14.664414923783106,0.2487397060720195,117.66763072724169,269.12707312195465,693.7424565542287
9.655,0.1284323020908581,0.000620944073817997,9.545820759983679,0.020414714103093843,0.0036386881312143694,14.665733640527012,0.24861747323108843,117.66992245684484,269.1137980628037,693.6987800593203
9.66,0.12842670316294652,0.0006211666273018814,9.545256838236615,0.020400124470125975,0.0036401667860690005,14.667053686882756,0.24849519658050406,117.67221388077202,269.10052019978605,693.6550983611337
9.665000000000001,0.12842110344278027,0.0006213894643423162,9.544692841226565,0.020385535473301995,0.003641645076881253,14.668375065319157,0.24837287606444827,117.67450499885683,269.08723953014874,693.6114114553084
9.67,0.1284155029299669,0.0006216125855447397,9.544128768861977,0.020370947112711944,0.0036431230036160145,14.669697778311754,0.24825051162698378,117.6767958109326,269.073956051136,693.5677193374904
9.675,0.12840990162411572,0.000621835991516414,9.54356462105127,0.02035635938844592,0.0036446005662381566,14.671021828342896,0.24812810321205378,117.67908631683243,269.06066975999033,693.52402200333
9.68,0.12840429952483678,0.0006220596828664292,9.543000397702745,0.020341772300594054,0.0036460777647125357,14.672347217901695,0.24800565076348152,117.68137651638912,269.0473806539508,693.4803194484813
9.685,0.12839869663174067,0.0006222836602057084,9.54243609872458,0.02032718584924653,0.003647554599003991,14.67367394948409,0.24788315422497004,117.6836664094352,269.0340887302529,693.4366116686044
9.69,0.12839309294443957,0.0006225079241470206,9.54187172402491,0.020312600034493564,0.0036490310690773455,14.67500202559285,0.2477606135401017,117.685955995803,269.02079398613,693.3928986593637
9.695,0.12838748846254683,0.000622732475304984,9.541307273511787,0.02029801485642543,0.003650507174897407,14.676331448737637,0.24763802865233792,117.6882452753245,269.0074964188133,693.3491804164286
9.700000000000001,0.12838188318567614,0.0006229573142960723,9.540742747093123,0.02028343031513244,0.0036519829164289672,14.677662221434971,0.24751539950501875,117.69053424783148,268.9941960255294,693.3054569354728
9.705,0.12837627711344263,0.0006231824417386239,9.540178144676762,0.020268846410704946,0.0036534582936368003,14.678994346208315,0.2473927260413625,117.69282291315538,268.9808928035029,693.261728212175
9.71,0.12837067024546267,0.0006234078582528506,9.539613466170477,0.02025426314323335,0.003654933306485666,14.680327825588057,0.24727000820446543,117.69511127112744,268.967586749956,693.2179942422184
9.715,0.1283650625813532,0.0006236335644608403,9.539048711481916,0.020239680512808094,0.0036564079549403065,14.681662662111554,0.2471472459373013,117.69739932157862,268.95427786210684,693.1742550212915
9.72,0.12835945412073274,0.0006238595609865697,9.538483880518676,0.020225098519519664,0.003657882238965449,14.68299885832316,0.2470244391827211,117.69968706433956,268.9409661371719,693.130510545087
9.725,0.12835384486321982,0.0006240858484559046,9.537918973188178,0.020210517163458588,0.003659356158525804,14.684336416774222,0.24690158788345257,117.70197449924069,268.9276515723624,693.0867608093022
9.73,0.12834823480843544,0.0006243124274966169,9.53735398939786,0.02019593644471544,0.0036608297135860665,14.685675340023174,0.24677869198209984,117.70426162611213,268.91433416488957,693.0430058096391
9.735,0.12834262395600018,0.0006245392987383821,9.536788929054955,0.020181356363380833,0.0036623029041109147,14.687015630635457,0.24665575142114318,117.70654844478376,268.90101391195884,692.9992455418052
9.74,0.12833701230553685,0.000624766462812795,9.536223792066691,0.020166776919545427,0.0036637757300650112,14.688357291183653,0.24653276614293848,117.70883495508514,268.88769081077464,692.9554800015114
9.745000000000001,0.12833139985666872,0.0006249939203533719,9.53565857834016,0.020152198113299925,0.0036652481914130025,14.689700324247445,0.24640973608971692,117.7111211568456,268.87436485853766,692.9117091844735
9.75,0.12832578660901964,0.0006252216719955577,9.535093287782324,0.020137619944735067,0.0036667202881195187,14.691044732413644,0.24628666120358458,117.71340704989419,268.8610360524442,692.8679330864124
9.755,0.12832017256221537,0.0006254497183767391,9.534527920300107,0.020123042413941642,0.0036681920201491742,14.69239051827626,0.24616354142652214,117.71569263405966,268.8477043896896,692.8241517030533
9.76,0.1283145577158824,0.0006256780601362475,9.533962475800317,0.020108465521010477,0.003669663387466567,14.693737684436485,0.2460403767003843,117.71797790917053,268.8343698674653,692.7803650301256
9.765,0.12830894206964805,0.0006259066979153671,9.533396954189648,0.020093889266032443,0.0036711343900362793,14.695086233502721,0.24591716696689966,117.72026287505498,268.82103248295897,692.7365730633643
9.77,0.12830332562314056,0.0006261356323573424,9.532831355374688,0.020079313649098453,0.003672605027822877,14.696436168090631,0.24579391216767013,117.72254753154101,268.80769223335534,692.6927757985076
