time,dm_ox_dt,dr_dt,thrust,n_lo,n_go,OF,r,V_chmb,p_chmb,p_tank
0.12,0.18290173993449574,-0.01774379409747128,1272.6903138878138,0.049270134708476285,0.0001951576996017501,0.5115413829965618,0.3552255826122313,115.2431928119744,1060.161085314797,1907.1391414351388
0.125,0.18135045801884267,-0.017901371638328587,1270.4356373023347,0.04924953278881404,0.00019793694012854417,0.5077752682094402,0.35170169760522635,115.33710101860838,1056.3272448999812,1888.8310503803052
0.13,0.17983896260875515,-0.0180678321495225,1268.315110282796,0.04922910257926132,0.00020069245521654874,0.504000751432449,0.3481450448465928,115.43093313015437,1052.726150741747,1871.2470992726428
0.135,0.1783644242688129,-0.018243510021749204,1266.3241712154015,0.04920883988139151,0.00020342482720202387,0.500214689299847,0.3445538098988115,115.52470992087466,1049.3490222201897,1854.3429904676689
0.14,0.1769241991018519,-0.018428783159280166,1264.4587737603408,0.049188740797132105,0.00020613459718727117,0.4964139572675587,0.34092610393390715,115.61845185077284,1046.188057835932,1838.0781394796375
0.145,0.1755158007206729,-0.018624075636991082,1262.7153331286422,0.04916880171087115,0.00020882226751631132,0.492595427817379,0.33725995464476544,115.71217914534131,1043.2363321228108,1822.4152884817345
0.15,0.17413688474641748,-0.018829861805856215,1261.0907092835537,0.0491490192733247,0.00021148830400763305,0.4887559551002769,0.3335532963482826,115.80591187452475,1040.487755818625,1807.3201685453969
0.155,0.17278522923778364,-0.019046670617539282,1259.5821771821984,0.04912939038762754,0.0002141331378823726,0.48489235614433573,0.32980395923722006,115.89967002937428,1037.9370162110936,1792.7612027538867
0.16,0.17145871996271722,-0.019275091016833484,1258.1874118263224,0.049109912197097164,0.00021675716746271588,0.4810013938417643,0.32600965757055633,115.99347359869743,1035.5795434591641,1778.7092449526108
0.165,0.1701553349504912,-0.019515778077782445,1256.9044715288248,0.04909058207475257,0.00021936075963005213,0.477079758318912,0.3221679766559449,116.08734264577059,1033.4114752461683,1765.1373489839862
0.17,0.16887313116413566,-0.01976946028930364,1255.7317887129527,0.04907139761434722,0.0002219442510758379,0.47312404826076165,0.31827635839799545,116.18129738650548,1031.4296350113352,1752.02056447361
0.17500000000000002,0.16761023126015503,-0.020036948010312694,1254.6681624641,0.04905235662290604,0.00022450794934695097,0.46913075083509165,0.31433208518216543,116.27535826972172,1029.6315141003356,1739.3357555996251
0.18,0.1663648113134463,-0.02031914340765533,1253.7127561764598,0.049033457114656946,0.00022705213370071187,0.46509622056424826,0.31033226180236845,116.36954606070672,1028.0152632498211,1727.0614399468484
0.185,0.16513508865838822,-0.020617052086112333,1252.8650982682861,0.049014697306343676,0.00022957705577172184,0.4610166564274945,0.3062737950992172,116.46388192904777,1026.5796899997315,1715.177644896266
0.19,0.16391931005365282,-0.020931796778697512,1252.1250873530485,0.048996075613883076,0.00023208294005581638,0.45688807706587903,0.3021533709033306,116.55838754201596,1025.3242642675814,1703.665779416711
0.195,0.1627157397282654,-0.021264633485362422,1251.4930012869709,0.048977590650380445,0.0002345699842096423,0.4527062935248136,0.297967427801737,116.65308516482742,1024.2491311072454,1692.5085194026892
0.2,0.16152264726099005,-0.021616970588251138,1250.9695109038155,0.04895924122552177,0.0002370383591636199,0.4484668791474662,0.2937121271414398,116.74799776937594,1023.3551319810616,1681.6897049820304
0.20500000000000002,0.16033829497567928,-0.021990391577778202,1250.555698544662,0.04894102634639791,0.00023948820904118927,0.44416513600210605,0.2893833185593542,116.84314915323998,1022.6438347440027,1671.1942484267158
0.21,0.1591609246748932,-0.022386682209131998,1250.253082150142,0.04892294521983588,0.00024191965087452013,0.43979605722730497,0.2849765001664865,116.93856407111608,1022.1175736473598,1661.008051497897
0.215,0.15798874339720298,-0.022807863119078824,1250.0636454987039,0.048904997256348136,0.00024433277410205925,0.43535428449742997,0.2804867723114959,117.0342683812172,1021.7795003988738,1651.1179312149056
0.22,0.15681990790968195,-0.023256229231026743,1249.9898755904749,0.04888718207584355,0.00024672763982888846,0.4308340597062167,0.27590878358736826,117.13028920970085,1021.6336480347386,1641.5115531818628
0.225,0.15565250754545432,-0.023734397658260423,1250.034808258211,0.048869499515288094,0.00024910427982492234,0.4262291697601212,0.2712366674083397,117.22665513683707,1021.685009538547,1632.177371729035
0.23,0.1544845449535216,-0.024245366337902394,1250.202083472444,0.04885194963855241,0.00025146269522938474,0.42153288317214493,0.26646396704472364,117.32339640946998,1021.9396338306383,1623.1045762358845
0.23500000000000001,0.15331391421288162,-0.024792586330598616,1250.4960120904345,0.04883453274874566,0.000253802854921668,0.41673787686667135,0.26158354642554527,117.42054518540047,1022.4047422866942,1614.2830431013274
0.24,0.15213837565516253,-0.025380051689912534,1250.9216562819777,0.048817249403409604,0.0002561246935087035,0.41183615128872564,0.256587483250386,117.51813581672401,1023.0888698302039,1605.7032929172724
0.245,0.15095552657268846,-0.0260124121484392,1251.4849263714543,0.04880010043304032,0.00025842810886646207,0.40681893151261617,0.2514669399189657,117.61620518099292,1024.002035596087,1597.3564524856322
0.25,0.14976276679311665,-0.02669511576131076,1252.1926975265603,0.04878308696352073,0.00026071295915771687,0.4016765515830936,0.24621200638135168,117.71479307150943,1025.1559494580047,1589.2342214003056
0.255,0.14855725783557622,-0.027434591351046752,1253.0529505229053,0.048766210443193146,0.00026297905922867485,0.3963983187804493,0.24081150707389812,117.81394266131664,1026.5642622386774,1581.3288429967417
0.26,0.14733587403138282,-0.028238484521671183,1254.0749418040411,0.04874947267548459,0.0002652261762625169,0.39097235391055934,0.23525276139580717,117.91370105987662,1028.2428693390623,1573.6330795541592
0.265,0.14609514356184639,-0.029115966801061575,1255.269409174049,0.048732875858230384,0.0002674540245367838,0.3853854031316479,0.22952128333101818,118.0141199875026,1030.2102797516025,1566.1401917255519
0.27,0.14483117682841848,-0.030078146181094112,1256.6488206581334,0.04871642263113516,0.00026966225909228343,0.379622616390992,0.22360040025526978,118.1152566010866,1032.488064927748,1558.8439222665957
0.275,0.1435395789088714,-0.03113862069944331,1258.2276750807557,0.048700116133179004,0.0002718504680718927,0.3736672875739286,0.21747076277058439,118.21717451667784,1035.1014043672508,1551.7384842479466
